Country,Name,start,end,Type,Sample,Sample_size,Panel,Tags,Available,Require Access
Germany,Social Cohesion Wave 1,2021-08-02,2021-09-21,Quantitative Survey Data,Non-probability quota,4806,Y,"Civic engagement, Political participation, Issue cleavage identification, Emotions (intergroup),  Immigration, Climate, Housing issue",Requestable,https://www.explore-interactions.de/cohesion/blog/contact-engl/
Germany,Social Cohesion Wave2,2021-12-02,2022-01-10,Quantitative Survey Data,Non-probability quota,1023,Y,"Civic engagement, Political participation, Issue cleavage identification, Emotions (intergroup),  Immigration, Climate, Housing issue",Requestable,https://www.explore-interactions.de/cohesion/blog/contact-engl/
Germany ,SolZiv Wave1,2020-10-06,2020-11-04,Quantitative Survey Data,Non-probability quota,3504,Y,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Austria,SolZiv Wave1,2020-10-06,2020-11-04,Quantitative Survey Data,Non-probability quota,1196,N,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Switzerland,SolZiv Wave1,2020-10-06,2020-11-04,Quantitative Survey Data,Non-probability quota,1197,N,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Italy,SolZiv Wave1,2020-10-06,2020-11-04,Quantitative Survey Data,Non-probability quota,1200,N,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Poland,SolZiv Wave1,2020-10-06,2020-11-04,Quantitative Survey Data,Non-probability quota,1199,N,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Germany,SolZiv Wave2,2021-03-02,2021-03-11,Quantitative Survey Data,Non-probability quota,1004,Y,"Civic engagement, Political participation, PANAS, Grievances (toward targets/objects i.e. policies, others), Emotions (intergroup), Perceived emotional synchrony, Personality (big 5), Attitudes (political)",Requestable,swen.hutter@fu-berlin.de
Hungary ,Manifesting guilt and shame in election campaign of 2022 Hungary,2022-02-01,2022-04-02,Media transcripts,Periodical,2104(1761Medai+343PoliticalLeaders),N,Emotions (moral),Requestable,szabo.gabriella@tk.hun-ren.hu
Belgium,Youth Radicalism in Europe Wave1,2020-03-01,2020-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
France,Youth Radicalism in Europe Wave1,2020-03-01,2020-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Germany ,Youth Radicalism in Europe Wave1,2020-03-01,2020-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Netherlands,Youth Radicalism in Europe Wave1,2020-03-01,2020-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Belgium,Youth Radicalism in Europe Wave1,2020-03-01,2020-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
France,Youth Radicalism in Europe Wave2,2021-03-01,2021-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Germany ,Youth Radicalism in Europe Wave2,2021-03-01,2021-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Netherlands,Youth Radicalism in Europe Wave2,2021-03-01,2021-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
Belgium,Youth Radicalism in Europe Wave2,2021-03-01,2021-12-31,Interview transcripts,18-30 age bracket,307*,Y,"Radicalism, Populism, Islamism, Islamophobism, Nativism, Deprivation (socioeconomic), Nostalgia",Y,https://bpy.bilgi.edu.tr/en/interview-data/
United Kingdom,Psyched up for party reforms,2024-07-01,2024-09-30,Quantitative experimental data,18+ voters,1000,N,"Personality, Moral foundations, Emotions ",Requestable,thomas.legein@vub.be
Belgium,Psyched up for party reforms,2024-07-01,2024-09-30,Quantitative experimental data,18+ voters,1000,N,"Personality, Moral foundations, Emotions ",Requestable,thomas.legein@vub.be
United Kingdom,Polarization Tracker Wave1 to 7,2020-12-01,2024-02-28,Quantitative Survey Data,Non-probability quota,1200,Y**,"Affective polarization, Moral foundations, Emotions (intergroup), Misinformation, Trust (political)",Requestable,thomas.legein@vub.be
Turkey,Polarisation in Turkey Wave1,2015-12-03,2015-12-10,Quantitative Survey Data,Representative sample,1024,N,"Work, Attitudes (political), Affective polarization, Voting  Party politics, Mass media, Civic engagement, Political participation, Protest, Trust (political), Economy (well-being and indicators), Values, Refugees",Requestable,info@turkuazlab.org
Turkey,Polarisation in Turkey Wave2,2017-11-01,2017-12-31,Quantitative Survey Data,Representative sample,2004,N,"Work, Attitudes (political), Affective polarization, Voting  Party politics, Mass media, Civic engagement, Political participation, Protest, Trust (political), Economy (well-being and indicators), Values, Refugees",Requestable,info@turkuazlab.org
